"","Net Hydroelectric Power Generation","Hydroelectricity Installed Capacity","Net Conventional Thermal Electricity Generation ","Conventional Thermal Electricity Installed Capacity ","Total Net Electricity Generation","Total Electricity Installed Capacity","Net Hydroelectric Power Consumption"," Total Net Electricity Consumption"," Total Net Electricity Consumption per Capita (Kilowatt-hou~)"," Energy imports, net (% of energy use)  ","Alternative and nuclear energy (% of total energy use) ","Total Energy Consumption (in Metric Tons)"," Combustible renewables and waste (% of total energy)"," CO2 emissions, industrial (kt)","CO2 emissions - total ('000 mt)","Area(Square Km)","CO2 emissions (metric tons per capita)"," CO2 emissions (kg per 2000 US$ of GDP)"," Population Density (people per sq. km)"
"1981"," 2.900000e+07"," 2.900000e+04"," 2.801000e+09"," 9.000000e+05"," 2.830000e+09"," 9.290000e+05"," 2.900000e+07"," 2.416000e+06"," 3.691353e-01","-9.209798e+01"," 7.651740e-02"," 5.598109e+06"," 1.529992e+01"," 9.812192e+03"," 9.076917e+03"," 1.636100e+05"," 1.425915e+00"," 9.953262e-04"," 4.212812e+01"
"1982"," 3.900000e+07"," 2.800000e+04"," 2.936000e+09"," 9.210000e+05"," 2.975000e+09"," 9.490000e+05"," 3.900000e+07"," 2.594000e+06"," 3.852118e-01","-8.839274e+01"," 9.849865e-02"," 5.327866e+06"," 1.595328e+01"," 9.519072e+03"," 8.508110e+03"," 1.636100e+05"," 1.297963e+00"," 9.374710e-04"," 4.334422e+01"
"1983"," 3.000000e+07"," 6.400000e+04"," 3.473000e+09"," 9.200000e+05"," 3.503000e+09"," 9.840000e+05"," 3.000000e+07"," 3.063000e+06"," 4.419665e-01","-7.693429e+01"," 6.613136e-02"," 6.079466e+06"," 1.439659e+01"," 1.129611e+04"," 9.808093e+03"," 1.636100e+05"," 1.445519e+00"," 1.032455e-03"," 4.460859e+01"
"1984"," 6.600000e+07"," 6.400000e+04"," 3.747000e+09"," 1.066000e+06"," 3.813000e+09"," 1.130000e+06"," 6.600000e+07"," 3.223000e+06"," 4.521641e-01","-6.598723e+01"," 1.420454e-01"," 6.629475e+06"," 1.385323e+01"," 1.153794e+04"," 1.045107e+04"," 1.636100e+05"," 1.500771e+00"," 1.040511e-03"," 4.588017e+01"
"1985"," 1.080000e+08"," 6.400000e+04"," 3.854000e+09"," 1.350000e+06"," 3.962000e+09"," 1.414000e+06"," 1.080000e+08"," 3.444000e+06"," 4.703712e-01","-5.739770e+01"," 2.355533e-01"," 6.768763e+06"," 1.370337e+01"," 1.192998e+04"," 1.062025e+04"," 1.636100e+05"," 1.478813e+00"," 1.000634e-03"," 4.712846e+01"
"1986"," 5.100000e+07"," 6.400000e+04"," 3.901000e+09"," 1.350000e+06"," 3.952000e+09"," 1.414000e+06"," 5.100000e+07"," 3.430000e+06"," 4.567396e-01","-5.526178e+01"," 1.131462e-01"," 7.167580e+06"," 1.433116e+01"," 1.205456e+04"," 1.168242e+04"," 1.636100e+05"," 1.588771e+00"," 1.116943e-03"," 4.833773e+01"
"1987"," 1.120000e+08"," 6.400000e+04"," 4.169000e+09"," 1.350000e+06"," 4.281000e+09"," 1.414000e+06"," 1.120000e+08"," 3.759000e+06"," 4.886739e-01","-4.683078e+01"," 2.433519e-01"," 6.684635e+06"," 1.445654e+01"," 1.173946e+04"," 1.061898e+04"," 1.636100e+05"," 1.416731e+00"," 9.515052e-04"," 4.951240e+01"
"1988"," 4.700000e+07"," 6.400000e+04"," 4.576000e+09"," 1.350000e+06"," 4.623000e+09"," 1.414000e+06"," 4.700000e+07"," 4.024000e+06"," 5.112139e-01","-3.842373e+01"," 9.619474e-02"," 7.108848e+06"," 1.406135e+01"," 1.245394e+04"," 1.153057e+04"," 1.636100e+05"," 1.504815e+00"," 1.032453e-03"," 5.066594e+01"
"1989"," 3.400000e+07"," 6.400000e+04"," 4.759000e+09"," 1.350000e+06"," 4.793000e+09"," 1.414000e+06"," 3.400000e+07"," 4.180000e+06"," 5.191943e-01","-3.992961e+01"," 7.093021e-02"," 8.085452e+06"," 1.428307e+01"," 1.322338e+04"," 1.285100e+04"," 1.636100e+05"," 1.622445e+00"," 1.121750e-03"," 5.182116e+01"
"1990"," 4.400000e+07"," 6.400000e+04"," 5.490000e+09"," 1.315000e+06"," 5.534000e+03"," 1.379000e+06"," 4.400000e+07"," 4.597000e+06"," 5.583765e-01","-1.580191e+01"," 7.998111e-02"," 8.014022e+06"," 1.290567e+01"," 1.325635e+04"," 1.279992e+04"," 1.636100e+05"," 1.611507e+00"," 1.043470e-03"," 5.299174e+01"
"1991"," 1.050000e+08"," 6.400000e+04"," 5.638000e+09"," 1.315000e+06"," 5.743000e+03"," 1.379000e+06"," 1.040000e+08"," 4.796000e+06"," 5.697526e-01","-2.987349e+01"," 1.931279e-01"," 7.841400e+06"," 1.332525e+01"," 1.547674e+04"," 1.264269e+04"," 1.636100e+05"," 1.840103e+00"," 9.919400e-04"," 5.418183e+01"
"1992"," 6.500000e+07"," 6.400000e+04"," 6.116000e+09"," 1.315000e+06"," 6.181000e+03"," 1.379000e+06"," 6.400000e+07"," 5.159000e+06"," 5.996588e-01","-2.121436e+01"," 1.073443e-01"," 7.567189e+06"," 1.222385e+01"," 1.501141e+04"," 1.208038e+04"," 1.636100e+05"," 1.746287e+00"," 8.791865e-04"," 5.537607e+01"
"1993"," 6.400000e+07"," 6.100000e+04"," 6.546000e+09"," 1.315000e+06"," 6.610000e+03"," 1.376000e+06"," 6.300000e+07"," 5.236000e+06"," 5.960235e-01","-8.090350e+00"," 1.037971e-01"," 7.911243e+06"," 1.279237e+01"," 1.648800e+04"," 1.510248e+04"," 1.636100e+05"," 1.878396e+00"," 1.075558e-03"," 5.654537e+01"
"1994","4.000000e+07","6.100000e+04","6.944000e+09","1.551000e+06","6.984000e+03","1.612000e+06","4.000000e+07","5.613000e+06","6.266894e-01","4.589584e+00","6.002399e-02","9.424760e+06","1.244576e+01","1.592741e+04","1.593319e+04","1.636100e+05","1.779744e+00","1.099739e-03","5.765055e+01"
"1995","3.900000e+07","6.100000e+04","7.550000e+09","1.672000e+06","7.589000e+03","1.733000e+06","4.100000e+07","6.193000e+06","6.795061e-01","8.176216e+00","5.778452e-02","8.422759e+06","1.292139e+01","1.572222e+04","1.411758e+04","1.636100e+05","1.726480e+00","9.520781e-04","5.866357e+01"
"1996","6.700000e+07","6.100000e+04","7.770000e+09","1.655000e+06","7.837000e+03","1.716000e+06","7.000000e+07","6.824000e+06","7.372486e-01","2.622418e+00","9.497166e-02","9.165232e+06","1.296676e+01","1.674448e+04","1.475578e+04","1.636100e+05","1.810515e+00","9.287413e-04","5.957799e+01"
"1997"," 4.700000e+07"," 6.100000e+04"," 8.439000e+09"," 1.952000e+06"," 8.486000e+03"," 2.013000e+06"," 7.200000e+07"," 7.292000e+06"," 7.770548e-01","-1.542735e+00"," 6.046997e-02"," 1.062637e+07"," 1.315915e+01"," 1.693134e+04"," 1.723372e+04"," 1.636100e+05"," 1.805726e+00"," 1.028753e-03"," 6.040262e+01"
"1998","7.200000e+07","6.100000e+04","8.568000e+09","2.740000e+06","8.640000e+03","2.801000e+06","7.500000e+07","7.581000e+06","7.980515e-01","5.800083e-01","9.078620e-02","1.139344e+07","1.261185e+01","1.798658e+04","1.802989e+04","1.636100e+05","1.894995e+00","1.025367e-03","6.114436e+01"
"1999","9.000000e+07","6.100000e+04","9.436000e+09","2.783000e+06","9.526000e+03","2.844000e+06","9.400000e+07","8.348000e+06","8.692453e-01","4.512940e+00","1.097884e-01","1.148749e+07","1.272190e+01","1.831634e+04","1.913230e+04","1.636100e+05","1.908770e+00","1.026304e-03","6.181600e+01"
"2000","6.400000e+07","6.100000e+04","1.000800e+10","2.784000e+06","1.009500e+04","2.856000e+06","6.300000e+07","8.848000e+06","9.122409e-01","9.196555e+00","1.024102e-01","1.194345e+07","1.277886e+01","1.990651e+04","1.929058e+04","1.636100e+05","2.054068e+00","9.921360e-04","6.243043e+01"
"2001","5.400000e+07","6.100000e+04","1.077600e+10","2.784000e+06","1.085400e+04","2.856000e+06","5.300000e+07","9.452000e+06","9.659027e-01","1.394573e+01","8.699119e-02","1.334308e+07","1.258332e+01","2.080053e+04","2.077998e+04","1.636100e+05","2.127345e+00","1.019302e-03","6.298703e+01"
"2002","6.400000e+07","6.100000e+04","1.118700e+10","2.784000e+06","1.128100e+04","2.856000e+06","6.300000e+07","9.818000e+06","9.953157e-01","1.418196e+01","1.034601e-01","1.343118e+07","1.288827e+01","2.099838e+04","2.071635e+04","1.636100e+05","2.114849e+00","9.991911e-04","6.349258e+01"
"2003","1.650000e+08","6.200000e+04","1.163100e+10","2.861000e+06","1.182900e+04","2.942000e+06","1.640000e+08","1.026700e+07","1.032952e+00","1.962579e+01","2.131899e-01","1.312562e+07","1.300230e+01","2.137944e+04","2.072972e+04","1.636100e+05","2.137554e+00","9.479757e-04","6.397707e+01"
"2004","1.540000e+08","6.200000e+04","1.225700e+10","2.979000e+06","1.245500e+04","3.060000e+06","1.520000e+08","1.072200e+07","1.070333e+00","1.959040e+01","2.012116e-01","1.323951e+07","1.278325e+01","2.242734e+04","2.072604e+04","1.636100e+05","2.225985e+00","8.945038e-04","6.447888e+01"
"2005","1.450000e+08","6.200000e+04","1.282000e+10","3.218000e+06","1.300700e+04","3.299000e+06","1.440000e+08","1.126600e+07","1.115172e+00","1.964087e+01","1.934229e-01","1.421651e+07","1.348602e+01","2.278275e+04","2.194305e+04","1.636100e+05","2.243217e+00","9.106037e-04","6.502624e+01"
"2006","1.620000e+08","6.400000e+04","1.351000e+10","3.410000e+06","1.379000e+04","3.530000e+06","1.600000e+08","1.201000e+07","1.178000e+00","2.145000e+01","2.080000e-01","1.521000e+07","1.310000e+01","2.392000e+04","2.296000e+04","1.636100e+05","2.315000e+00","8.820000e-04","6.595000e+01"
"2007","1.780000e+08","6.500000e+04","1.418000e+10","3.640000e+06","1.456000e+04","3.810000e+06","1.760000e+08","1.285000e+07","1.249000e+00","2.298000e+01","2.230000e-01","1.617000e+07","1.332000e+01","2.518000e+04","2.409000e+04","1.636100e+05","2.410000e+00","8.650000e-04","6.710000e+01"
"2008","1.930000e+08","6.600000e+04","1.496000e+10","3.890000e+06","1.541000e+04","4.100000e+06","1.910000e+08","1.378000e+07","1.327000e+00","2.467000e+01","2.390000e-01","1.724000e+07","1.365000e+01","2.657000e+04","2.534000e+04","1.636100e+05","2.522000e+00","8.510000e-04","6.848000e+01"
"2009","1.750000e+08","6.600000e+04","1.563000e+10","4.150000e+06","1.607000e+04","4.390000e+06","1.730000e+08","1.462000e+07","1.395000e+00","2.611000e+01","2.290000e-01","1.822000e+07","1.388000e+01","2.784000e+04","2.649000e+04","1.636100e+05","2.618000e+00","8.360000e-04","6.992000e+01"
"2010","1.890000e+08","6.700000e+04","1.641000e+10","4.430000e+06","1.684000e+04","4.690000e+06","1.870000e+08","1.558000e+07","1.472000e+00","2.779000e+01","2.420000e-01","1.932000e+07","1.412000e+01","2.921000e+04","2.775000e+04","1.636100e+05","2.729000e+00","8.190000e-04","7.152000e+01"
"2011","2.040000e+08","6.800000e+04","1.729000e+10","4.720000e+06","1.773000e+04","5.020000e+06","2.020000e+08","1.667000e+07","1.560000e+00","2.921000e+01","2.560000e-01","2.053000e+07","1.439000e+01","3.074000e+04","2.914000e+04","1.636100e+05","2.854000e+00","8.040000e-04","7.331000e+01"
